Customer_ID,Planted_Risk
CUST00001,Low
CUST00002,Low
CUST00003,Low
CUST00004,Low
CUST00005,Low
CUST00006,Low
CUST00007,Low
CUST00008,Low
CUST00009,Medium
CUST00010,Low
CUST00011,Low
CUST00012,Low
CUST00013,Low
CUST00014,Low
CUST00015,Low
CUST00016,Low
CUST00017,Low
CUST00018,Low
CUST00019,Low
CUST00020,Low
CUST00021,Low
CUST00022,Low
CUST00023,Low
CUST00024,Low
CUST00025,Low
CUST00026,Medium
CUST00027,Low
CUST00028,Low
CUST00029,Low
CUST00030,Low
CUST00031,Low
CUST00032,Low
CUST00033,Low
CUST00034,Low
CUST00035,Low
CUST00036,Low
CUST00037,Low
CUST00038,Low
CUST00039,Low
CUST00040,Low
CUST00041,Low
CUST00042,Low
CUST00043,Low
CUST00044,Low
CUST00045,Low
CUST00046,Low
CUST00047,Low
CUST00048,Medium
CUST00049,Low
CUST00050,Low
CUST00051,Low
CUST00052,Low
CUST00053,Low
CUST00054,Medium
CUST00055,Low
CUST00056,Low
CUST00057,Low
CUST00058,Low
CUST00059,Low
CUST00060,Low
CUST00061,Low
CUST00062,Low
CUST00063,Low
CUST00064,Low
CUST00065,Low
CUST00066,Low
CUST00067,Low
CUST00068,Medium
CUST00069,Low
CUST00070,Low
CUST00071,Low
CUST00072,Low
CUST00073,Low
CUST00074,Low
CUST00075,Low
CUST00076,Low
CUST00077,Low
CUST00078,Low
CUST00079,Low
CUST00080,Low
CUST00081,Low
CUST00082,Low
CUST00083,Low
CUST00084,Low
CUST00085,Low
CUST00086,Medium
CUST00087,Low
CUST00088,Medium
CUST00089,Low
CUST00090,Low
CUST00091,Low
CUST00092,Low
CUST00093,Low
CUST00094,Low
CUST00095,Medium
CUST00096,Low
CUST00097,Low
CUST00098,Low
CUST00099,Low
CUST00100,Low
CUST00101,Low
CUST00102,Low
CUST00103,Low
CUST00104,High
CUST00105,Low
CUST00106,Low
CUST00107,Low
CUST00108,Low
CUST00109,Low
CUST00110,Low
CUST00111,Low
CUST00112,Low
CUST00113,Low
CUST00114,Medium
CUST00115,Low
CUST00116,Low
CUST00117,Medium
CUST00118,Low
CUST00119,Low
CUST00120,Low
CUST00121,Low
CUST00122,Low
CUST00123,Low
CUST00124,Low
CUST00125,Low
CUST00126,Low
CUST00127,Low
CUST00128,Low
CUST00129,Low
CUST00130,Low
CUST00131,Low
CUST00132,Low
CUST00133,Low
CUST00134,Low
CUST00135,Low
CUST00136,Low
CUST00137,Low
CUST00138,Low
CUST00139,Low
CUST00140,Low
CUST00141,Low
CUST00142,Low
CUST00143,Low
CUST00144,Medium
CUST00145,Low
CUST00146,Low
CUST00147,Low
CUST00148,Low
CUST00149,Low
CUST00150,Low
CUST00151,Low
CUST00152,Low
CUST00153,Low
CUST00154,Low
CUST00155,Low
CUST00156,Low
CUST00157,Low
CUST00158,Low
CUST00159,Low
CUST00160,Medium
CUST00161,Low
CUST00162,Low
CUST00163,Low
CUST00164,High
