Customer_ID,Total_Orders,Total_Refunds,Total_Refund_Amount,Refund_Rate,Reason_Repetition_Rate,Avg_Reason_Length,Days_Span,Refunds_Per_Day,Fraud_Risk_Score
CUST07704,5,5,2526.8900000000003,100.0,100.0,17.0,9,0.5,84.72
CUST05625,5,5,2693.5699999999997,100.0,100.0,17.0,12,0.3846,83.54
CUST04308,5,5,1528.07,100.0,100.0,17.0,49,0.1,80.64
CUST00790,7,6,3471.67,85.71,100.0,17.0,29,0.2,73.09
CUST05675,6,6,2730.75,100.0,83.33,15.83,49,0.12,72.51
CUST07852,6,5,2527.59,83.33,100.0,17.0,28,0.1724,71.38
CUST07954,5,5,2887.04,100.0,80.0,15.6,47,0.1042,70.68
CUST09899,5,5,2181.4300000000003,100.0,80.0,15.6,47,0.1042,70.68
CUST03483,5,4,2172.43,80.0,100.0,17.0,22,0.1739,69.4
CUST08584,7,7,3763.91,100.0,71.43,15.0,22,0.3043,68.44
CUST06173,8,7,3483.08,87.5,85.71,16.0,51,0.1346,66.35
CUST05191,8,6,3881.6400000000003,75.0,100.0,17.0,35,0.1667,66.32
CUST04329,6,6,2552.84,100.0,66.67,14.67,18,0.3158,66.18
CUST09715,6,6,3161.1,100.0,66.67,14.67,25,0.2308,65.31
CUST07044,5,5,2508.1000000000004,100.0,80.0,11.4,39,0.125,64.9
CUST01995,6,6,2577.19,100.0,66.67,14.67,41,0.1429,64.42
CUST04291,6,6,3080.73,100.0,66.67,14.67,43,0.1364,64.35
CUST05057,7,6,2847.2799999999997,85.71,83.33,15.83,45,0.1304,64.04
CUST05613,7,5,2317.15,71.43,100.0,17.0,43,0.1136,63.64
CUST02543,6,5,2364.67,83.33,80.0,15.6,16,0.2941,62.62
CUST02544,6,4,1648.43,66.67,100.0,17.0,18,0.2105,61.77
CUST00278,6,6,3574.87,100.0,66.67,12.33,29,0.2,61.66
CUST04138,6,5,3171.7799999999997,83.33,80.0,15.6,27,0.1786,61.44
CUST03977,5,5,3092.64,100.0,60.0,14.2,29,0.1667,61.32
CUST00974,6,5,2309.24,83.33,80.0,15.6,32,0.1515,61.17
CUST00388,7,7,3981.34,100.0,57.14,14.0,24,0.28,61.05
CUST01786,5,5,2713.49,100.0,60.0,14.2,35,0.1389,61.04
CUST04162,6,4,2208.43,66.67,100.0,17.0,30,0.129,60.94
CUST08991,6,5,2205.94,83.33,80.0,15.6,42,0.1163,60.81
CUST01970,5,5,2559.41,100.0,60.0,14.2,45,0.1087,60.73
CUST02138,5,5,2096.58,100.0,60.0,14.2,46,0.1064,60.71
CUST08295,8,7,3825.0499999999997,87.5,71.43,15.0,30,0.2258,60.14
CUST06056,5,5,2699.4300000000003,100.0,60.0,12.8,32,0.1515,59.17
CUST06074,8,6,2745.9,75.0,83.33,15.83,31,0.1875,58.19
CUST08601,5,3,1193.38,60.0,100.0,17.0,11,0.25,58.17
CUST06762,5,3,1365.5300000000002,60.0,100.0,17.0,12,0.2308,57.98
CUST01607,5,3,2117.79,60.0,100.0,17.0,21,0.1364,57.01
CUST09178,7,6,2363.5,85.71,66.67,14.67,23,0.25,56.94
CUST09203,5,4,1468.32,80.0,75.0,15.25,25,0.1538,56.69
CUST08690,5,3,1036.82,60.0,100.0,17.0,28,0.1034,56.68
CUST09534,8,8,4379.0,100.0,50.0,13.5,39,0.2,56.66
CUST03347,5,4,1637.7400000000002,80.0,75.0,15.25,27,0.1429,56.58
CUST00952,5,4,1605.53,80.0,75.0,15.25,30,0.129,56.44
CUST02384,5,3,1026.2,60.0,100.0,17.0,48,0.0612,56.25
CUST08681,7,6,2189.04,85.71,66.67,14.67,41,0.1429,55.84
CUST09630,7,6,2765.05,85.71,66.67,14.67,51,0.1154,55.56
CUST02201,7,5,2212.55,71.43,80.0,15.6,17,0.2778,55.31
CUST00447,7,5,2261.68,71.43,80.0,15.6,24,0.2,54.52
CUST03776,9,7,3274.88,77.78,71.43,15.0,29,0.2333,54.38
CUST03952,7,5,1965.31,71.43,80.0,15.6,31,0.1562,54.07
CUST00260,9,7,3116.96,77.78,71.43,15.0,45,0.1522,53.56
CUST08639,7,5,2495.34,71.43,80.0,15.6,49,0.1,53.5
CUST04471,6,3,1274.27,50.0,100.0,17.0,7,0.375,53.45
CUST02622,9,8,3968.6400000000003,88.89,62.5,12.62,46,0.1702,53.43
CUST05579,8,7,4147.12,87.5,57.14,13.0,31,0.2188,51.49
CUST03251,5,4,2119.0,80.0,75.0,11.75,32,0.1212,51.36
CUST00546,5,4,1944.03,80.0,75.0,11.75,44,0.0889,51.03
CUST01417,6,5,2459.39,83.33,60.0,14.2,38,0.1282,50.93
CUST03842,8,7,3744.16,87.5,57.14,13.0,49,0.14,50.69
CUST07642,6,5,2525.59,83.33,60.0,14.2,49,0.1,50.64
CUST06297,6,5,2827.12,83.33,60.0,14.2,53,0.0926,50.56
CUST09800,6,4,2297.31,66.67,75.0,15.25,11,0.3333,50.52
CUST05650,5,2,409.24,40.0,100.0,17.0,2,0.6667,50.42
CUST02320,6,3,1291.1599999999999,50.0,100.0,17.0,42,0.0698,50.34
CUST06733,7,6,2321.98,85.71,50.0,13.5,14,0.4,50.12
CUST00711,6,5,1727.9499999999998,83.33,60.0,12.8,27,0.1786,49.44
CUST04935,8,6,3406.44,75.0,66.67,14.67,50,0.1176,49.16
CUST00578,6,4,1945.71,66.67,75.0,15.25,23,0.1667,48.82
CUST09450,8,5,3024.06,62.5,80.0,15.6,47,0.1042,48.19
CUST04924,7,6,3673.69,85.71,50.0,13.5,28,0.2069,48.16
CUST02285,5,2,222.07999999999998,40.0,100.0,13.0,1,1.0,48.1
CUST03040,6,4,1023.98,66.67,75.0,15.25,50,0.0784,47.92
CUST07818,7,6,2945.19,85.71,50.0,13.5,48,0.1224,47.3
CUST04850,5,4,1408.78,80.0,50.0,13.5,14,0.2667,45.34
CUST01156,5,2,430.74,40.0,100.0,17.0,12,0.1538,45.19
CUST00063,5,2,500.47,40.0,100.0,13.0,2,0.6667,44.7
CUST09122,7,5,1705.17,71.43,60.0,14.2,26,0.1852,44.37
CUST03978,5,2,1070.7800000000002,40.0,100.0,17.0,32,0.0606,44.24
CUST00950,7,5,3000.13,71.43,60.0,14.2,30,0.1613,44.13
CUST02578,5,4,1928.3000000000002,80.0,50.0,13.5,26,0.1481,44.13
CUST00212,5,4,2994.98,80.0,50.0,13.5,26,0.1481,44.13
CUST01474,5,2,1152.75,40.0,100.0,17.0,53,0.037,44.0
CUST05951,6,3,1175.4099999999999,50.0,100.0,10.0,6,0.4286,43.99
CUST06745,7,5,2600.51,71.43,60.0,14.2,33,0.1471,43.98
CUST09363,5,4,1743.3,80.0,50.0,13.5,30,0.129,43.94
CUST00664,7,5,2022.51,71.43,60.0,14.2,34,0.1429,43.94
CUST03049,7,5,3045.56,71.43,60.0,14.2,36,0.1351,43.86
CUST05218,6,2,492.42,33.33,100.0,17.0,4,0.4,43.7
CUST04327,7,5,2007.75,71.43,60.0,14.2,42,0.1163,43.67
CUST03302,5,4,1990.06,80.0,50.0,13.5,40,0.0976,43.62
CUST04310,7,5,2337.6099999999997,71.43,60.0,14.2,45,0.1087,43.59
CUST08630,7,5,2804.2799999999997,71.43,60.0,14.2,46,0.1064,43.57
CUST02469,5,4,2084.5,80.0,50.0,13.5,46,0.0851,43.49
CUST08563,7,5,2875.09,71.43,60.0,14.2,52,0.0943,43.44
CUST07930,5,4,2029.5700000000002,80.0,50.0,13.5,51,0.0769,43.41
CUST09693,8,6,3067.07,75.0,50.0,13.5,16,0.3529,43.22
CUST01197,6,3,779.9300000000001,50.0,100.0,12.0,44,0.0667,43.16
CUST00960,6,4,1555.3400000000001,66.67,75.0,11.75,43,0.0909,43.05
CUST01394,5,2,240.06,40.0,100.0,13.0,3,0.5,43.0
CUST09011,6,4,1201.4,66.67,75.0,11.75,47,0.0833,42.97
CUST04683,7,4,2908.89,57.14,75.0,15.25,37,0.1053,42.48
CUST09372,6,2,987.5,33.33,100.0,17.0,7,0.25,42.17
CUST09263,7,5,2790.68,71.43,60.0,12.8,31,0.1562,42.07
CUST01977,7,5,2569.2799999999997,71.43,60.0,12.8,32,0.1515,42.03
CUST00244,5,3,1763.54,60.0,66.67,14.67,10,0.2727,41.74
CUST04625,6,2,403.65999999999997,33.33,100.0,17.0,11,0.1667,41.32
CUST07960,8,6,2926.03,75.0,50.0,13.5,47,0.125,40.9
CUST08838,5,2,223.54,40.0,100.0,13.0,6,0.2857,40.82
CUST02493,6,2,716.66,33.33,100.0,13.0,2,0.6667,40.7
CUST09204,6,2,370.24,33.33,100.0,17.0,20,0.0952,40.59
CUST08520,6,2,159.94,33.33,100.0,17.0,26,0.0741,40.38
CUST08670,6,2,459.12,33.33,100.0,17.0,26,0.0741,40.38
CUST03541,5,3,1881.92,60.0,66.67,14.67,21,0.1364,40.35
CUST00377,5,3,1690.45,60.0,66.67,14.67,21,0.1364,40.35
CUST08117,6,2,305.01,33.33,100.0,17.0,49,0.04,40.03
CUST07091,5,3,1272.01,60.0,66.67,14.67,29,0.1,39.98
CUST09128,11,8,4648.09,72.73,50.0,13.5,47,0.1667,39.96
CUST03180,5,3,1298.25,60.0,66.67,14.67,30,0.0968,39.95
CUST07280,5,2,242.41,40.0,100.0,13.0,10,0.1818,39.76
CUST09191,8,5,2137.22,62.5,60.0,14.2,19,0.25,39.67
CUST00949,8,5,3062.9300000000003,62.5,60.0,14.2,23,0.2083,39.25
CUST02996,8,5,2229.44,62.5,60.0,14.2,29,0.1667,38.82
CUST00365,8,5,1663.09,62.5,60.0,14.2,29,0.1667,38.82
CUST01614,7,4,1790.13,57.14,75.0,11.75,29,0.1333,37.77
CUST07906,5,2,159.7,40.0,100.0,12.0,15,0.125,37.76
CUST06315,5,2,576.13,40.0,50.0,12.5,0,2.0,37.57
CUST04730,5,3,1455.99,60.0,66.67,12.33,16,0.1765,37.42
CUST06361,5,3,1149.51,60.0,66.67,12.33,18,0.1579,37.23
CUST08119,5,2,305.07000000000005,40.0,100.0,12.0,32,0.0606,37.1
CUST01190,6,4,2558.75,66.67,50.0,13.5,28,0.1379,36.03
CUST08862,6,3,1313.29,50.0,66.67,14.67,9,0.3,36.02
CUST00155,6,2,409.31,33.33,100.0,13.0,15,0.125,35.18
CUST02520,5,2,460.27000000000004,40.0,100.0,10.0,16,0.1176,34.82
CUST09666,6,3,1272.5,50.0,66.67,12.33,5,0.5,34.72
CUST08311,6,4,1094.8700000000001,66.67,50.0,12.5,27,0.1429,34.65
CUST08988,5,3,678.6,60.0,66.67,10.67,28,0.1034,34.3
CUST06080,6,3,1722.73,50.0,66.67,14.67,23,0.125,34.24
CUST08573,9,3,890.25,33.33,100.0,12.0,17,0.1667,34.18
CUST09232,6,3,2246.02,50.0,66.67,14.67,28,0.1034,34.02
CUST04760,6,2,501.26000000000005,33.33,100.0,12.0,13,0.1429,33.94
CUST02181,6,2,375.64,33.33,100.0,12.0,14,0.1333,33.84
CUST01991,6,3,2088.65,50.0,66.67,14.67,48,0.0612,33.59
